Country Name,GDP Data,Enrollment Rates
Belarus,17549.406,116.76288
Belarus,17012.016,114.90804
Belarus,18824.506,111.07816
Belarus,21223.59,107.98933
Belarus,20276.56,105.30533
Belarus,19838.09,100.99538
Belarus,20188.39,98.98171
Belarus,19728.426,97.52033
Belarus,18609.34,97.04809
Belarus,20307.428,96.01177
Belarus,21174.275,95.49972
Belarus,21665.938,94.92053
Belarus,21665.938,95.00747
Belarus,21665.938,95.21339
Belarus,21665.938,94.5359
Belarus,21665.938,94.5359
Belarus,21665.938,94.5359
Belgium,23806.79,90.25147
Belgium,22679.863,91.48277
Belgium,21934.953,93.41763
Belgium,21274.96,93.67448
Belgium,21207.998,96.1074
Belgium,20143.088,98.1687
Belgium,21584.13,99.75695
Belgium,22772.012,100.44987
Belgium,24514.705,102.30074
Belgium,25045.986,103.57439
Belgium,26114.314,104.52214
Belgium,26425.402,104.73703
Belgium,27306.836,105.01201
Belgium,27369.021,142.57513
Belgium,27974.865,143.30888
Belgium,29060.271,144.08759
Belgium,28905.15,144.00554
Belgium,30190.76,143.6317467
Belgium,30345.209,143.2579533
Belgium,31710.693,142.88416
Belgium,33739.33,146.91978
Belgium,33801.445,155.94617
Belgium,34587.23,157.64877
Belgium,35921.406,158.87923
Belgium,36637.98,151.63809
Belgium,40701.17,157.3434
Belgium,39286.82,158.6851
Belgium,40197.406,159.4399
Belgium,43370.99,160.46881
Belgium,41608.61,159.66154
Belgium,44733.914,160.66048
Belgium,44285.63,159.3493
Belgium,44366.01,160.11053
Belgium,43980.91,161.84589
Belgium,43960.465,162.42198
Belgium,42891.355,164.07982
Belgium,43413.094,160.68927
Belgium,45150.195,158.67029
Belgium,44205.297,156.50977
Belgium,44839.68,156.63538
Belgium,44839.68,151.72751
Belgium,44839.68,143.16351
Belgium,44839.68,143.16351
Belgium,44839.68,143.16351
Belgium,44839.68,143.16351
Belize,5292.127,51.51923
Belize,4845.993,51.34569
Belize,4896.779,52.26515
Belize,4740.473,54.6265
Belize,4706.758,56.98785
Belize,4750.915,59.3492
Belize,5345.7656,61.71055
Belize,5793.093,63.43589
Belize,6093.674,62.70323
Belize,6570.756,61.97057
Belize,7192.621,61.23791
Belize,6851.145,60.50525
Belize,6758.351,62.56843667
Belize,7071.161,64.63162333
Belize,7399.0845,66.69481
Belize,7794.7563,66.8363
Belize,6607.7505,66.257435
Belize,6156.386,65.67857
Belize,5889.978,65.099705
Belize,5897.188,64.52084
Belize,6530.451,67.57897
Belize,6299.567,69.45393
Belize,6895.2183,72.57449
Belize,7420.105,75.69505
Belize,7606.347,77.11399
Belize,7805.492,75.58923
Belize,8127.245,76.16588
Belize,8185.3877,75.28037
Belize,7690.259,75.04401
Belize,7087.6943,74.64116
Belize,7784.203,75.10253
Belize,8055.136,75.62545
Belize,8062.7334,78.31773
Belize,7291.5586,80.19975
Belize,7270.5225,79.97025
Belize,6594.8223,80.97367
Belize,6321.782,87.4976
Belize,6199.1445,84.77844
Belize,5793.2246,86.31658
Belize,5602.4204,87.37933
Belize,5602.4204,85.94648
Belize,5602.4204,88.74031
Belize,5602.4204,86.99241
Belize,5602.4204,86.99241
Belize,5602.4204,86.99241
Benin,2214.1562,11.58525
Benin,2724.9905,14.47191
Benin,1909.6669,17.27158
Benin,1824.89,19.86194
Benin,1882.8116,18.90764
Benin,2021.0591,17.8848
Benin,1716.2102,15.44897
Benin,1542.1,14.3062
Benin,1542.7927,14.788895
Benin,1352.494,15.27159
Benin,1348.4304,15.754285
Benin,1372.9437,16.23698
Benin,1370.6992,16.719675
Benin,1360.4703,17.20237
Benin,1231.7274,17.685065
Benin,1316.4723,18.16776
Benin,1341.8204,18.650455
Benin,1440.5328,19.13315
Benin,1464.8466,19.615845
Benin,1558.879,20.09854
Benin,1695.3029,20.87474
Benin,1762.793,22.65257
Benin,1888.796,24.59546
Benin,1952.2593,25.94239
Benin,2025.2596,27.78561
Benin,2065.6758,30.58975143
Benin,2058.9084,33.39389286
Benin,2123.7812,36.19803429
Benin,2125.9502,39.00217571
Benin,2070.7388,41.80631714
Benin,2078.012,44.61045857
Benin,2160.346,47.4146
