,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
81,Guam,5.727272727,4.909090909,4.090909091,3.272727273,2.454545455,1.636363636,0.818181818,0,0.2,0.4,0.6,0.8,1,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1,1,1.052631579,1.105263158,1.157894737,1.210526316,1.263157895,1.315789474,1.368421053,1.421052632,1.473684211,1.526315789,1.578947368,1.631578947,1.684210526,1.736842105,1.789473684,1.842105263,1.894736842,1.947368421,2,2
82,Guatemala,206.6666667,413.3333333,620,0,0,0,0,84,5,10,23.5,37,0,5,10,31,0,217.5,435,14,36,55,70,22,802.5,1583,6,11,74,36,227,83,44,1,6,358,10,20,463,4,167,2,55,164,164
83,Guinea,,0,0,443,398.7,354.4,310.1,265.8,221.5,177.2,132.9,88.6,44.3,0,2.4,4.8,7.2,9.6,12,8,4,9,6,3,0,0,0,0,0,2,8,0,0,0,8,16,8,0,0,0,0,5,0,8,8
84,Guinea-Bissau,0,0,0,0,0,0,0.5,1,0.833333333,0.666666667,0.5,0.333333333,0.166666667,0,0.6,1.2,1.8,2.4,3,2.25,1.5,0.75,0,0,3,1.5,0,0,0,1,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3,3,3,3,3,3
85,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857142857,9.714285714,14.57142857,19.42857143,24.28571429,29.14285714,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Haiti,220,0,0,0,49.33333333,98.66666667,148,33,81,0,0,0,0,13,1122,603,84,137,190,13,16,26,35,88,5422,88,16,163,698,21,222641,39,130,6,12,11,599,35,17,14,39,2582,9,80,80
87,High-income countries,6359,547,1406,1083,1158,1784,366,2382,201,572,797,829,262,1124,559,6459,731,905,1571,3666,739,922,947,72827,766,3150,4270,1343,666,2284,1579,21403,1175,1571,880,4490,1019,773,1196,3762,7271,2005,60190,804,854
88,Honduras,0.5,0,130,65,0,0,0,9.5,19,10,5,141,277,413,151,32,8,0,14600,34,0,21,11,10,0,61,4,7,67,7,144,33,0,2,4,0,7,21,6,0,132,0,14,5,5
89,Hong Kong,2,0,31,23,12.5,2,5,10,0,12,17,22,7,8,1,27.66666667,54.33333333,81,41.5,2,2.5,3,3.5,4,2,0,0.666666667,1.333333333,2,0,1,0.857142857,0.714285714,0.571428571,0.428571429,0.285714286,0.142857143,0,0,0.666666667,1.333333333,2,1,0,0
90,Hungary,88.57142857,67.42857143,46.28571429,25.14285714,4,2,0,0,0,0,0,0,0,0,0,0,0,0,24,48,1,81,0,7,0,10,47,500,17,9,1,8.5,16,0,0,0,0,0,61,118,249.6666667,381.3333333,513,513,513
91,Iceland,2.714285714,3.142857143,3.571428571,4,0,0,0,0,0,4.857142857,9.714285714,14.57142857,19.42857143,24.28571429,29.14285714,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,India,2856,1658,2076,1634,1574,2162,800,1880,3511,1915,2361,2641,1166,11251,2395,2934,2876,2476,8617,11178,2556,20968,2811,1992,17996,4201,1521,2212,1797,1928,1344,1038,433,7285,1072,3400,1129,2346,1396,2307,2316,2126,2210,2135,4
